"Date","Price","Open","High","Low","Vol.","Change %"
"08/21/2024","167.63","166.99","168.64","166.57","15.27M","-0.79%"
"08/20/2024","168.96","168.74","170.41","168.66","12.62M","0.33%"
"08/19/2024","168.40","167.00","168.47","166.09","13.10M","2.22%"
"08/16/2024","164.74","163.41","166.95","163.08","16.85M","0.96%"
"08/15/2024","163.17","162.21","163.52","161.49","18.39M","0.70%"
"08/14/2024","162.03","164.21","164.96","159.53","22.52M","-2.35%"
"08/13/2024","165.93","165.18","166.54","164.77","12.72M","1.21%"
"08/12/2024","163.95","165.99","166.70","163.55","12.43M","-0.87%"
"08/09/2024","165.39","161.65","165.52","160.93","13.55M","0.95%"
"08/08/2024","163.84","162.34","165.50","162.03","15.73M","1.92%"
"08/07/2024","160.75","163.24","164.79","160.24","19.33M","0.13%"
"08/06/2024","160.54","160.95","162.35","158.13","36.15M","-0.06%"
"08/05/2024","160.64","157.37","165.94","156.60","34.91M","-4.61%"
"08/02/2024","168.40","168.19","170.21","166.39","18.91M","-2.35%"
"08/01/2024","172.45","171.98","175.68","170.51","17.18M","-0.40%"
"07/31/2024","173.15","174.92","175.91","171.72","15.65M","0.75%"
"07/30/2024","171.86","171.83","172.95","170.12","13.68M","0.43%"
"07/29/2024","171.13","170.50","172.16","169.72","13.77M","1.45%"
"07/26/2024","168.68","168.77","169.84","165.87","25.15M","-0.28%"
"07/25/2024","169.16","174.25","175.20","169.05","28.97M","-2.99%"
"07/24/2024","174.37","175.39","177.95","173.57","31.25M","-5.03%"
"07/23/2024","183.60","183.84","185.22","183.33","23.77M","0.14%"
"07/22/2024","183.35","182.35","184.30","181.90","16.30M","2.21%"
"07/19/2024","179.39","180.37","181.97","178.86","14.49M","0.09%"
"07/18/2024","179.22","183.54","184.05","178.21","17.88M","-1.86%"
"07/17/2024","182.62","184.68","185.23","181.62","17.38M","-1.55%"
"07/16/2024","185.50","188.96","190.34","185.12","12.76M","-1.43%"
"07/15/2024","188.19","186.49","189.90","186.49","12.19M","0.75%"
"07/12/2024","186.78","186.92","188.69","186.14","14.45M","-0.28%"
"07/11/2024","187.30","191.34","192.41","186.82","16.45M","-2.78%"
"07/10/2024","192.66","190.75","193.31","190.62","12.05M","1.17%"
"07/09/2024","190.44","191.75","192.86","190.23","10.22M","-0.02%"
"07/08/2024","190.48","191.37","191.68","189.32","12.10M","-0.77%"
"07/05/2024","191.96","187.32","192.26","187.32","14.30M","2.44%"
"07/03/2024","187.39","186.30","187.62","185.38","7.41M","0.42%"
"07/02/2024","186.61","183.47","186.95","183.06","12.56M","1.15%"
"07/01/2024","184.49","184.48","185.34","182.73","11.82M","0.58%"
"06/28/2024","183.42","185.72","186.58","183.32","23.03M","-1.84%"
"06/27/2024","186.86","185.65","187.50","185.45","13.03M","0.80%"
"06/26/2024","185.37","184.20","185.93","183.99","13.38M","-0.11%"
"06/25/2024","185.58","181.15","185.75","181.10","18.92M","2.65%"
"06/24/2024","180.79","181.28","182.08","180.23","18.20M","0.29%"
"06/21/2024","180.26","178.49","182.51","178.06","59.73M","1.43%"
"06/20/2024","177.71","176.71","178.74","176.46","16.75M","0.71%"
"06/18/2024","176.45","178.79","178.91","175.62","15.64M","-1.30%"
"06/17/2024","178.78","176.98","179.92","176.49","15.27M","0.23%"
"06/14/2024","178.37","175.85","178.73","175.85","12.36M","0.92%"
"06/13/2024","176.74","177.84","178.51","176.66","15.96M","-1.57%"
"06/12/2024","179.56","179.75","182.08","177.78","18.60M","0.77%"
"06/11/2024","178.19","177.72","178.39","175.44","14.40M","0.88%"
"06/10/2024","176.63","176.45","178.47","174.38","17.12M","0.39%"
"06/07/2024","175.95","178.46","179.42","175.79","14.72M","-1.35%"
"06/06/2024","178.35","177.43","178.71","177.21","14.26M","0.72%"
"06/05/2024","177.07","176.54","177.97","175.29","15.23M","1.11%"
"06/04/2024","175.13","174.45","175.19","173.22","14.07M","0.41%"
"06/03/2024","174.42","173.88","175.86","172.45","20.74M","0.26%"
"05/31/2024","173.96","173.40","174.42","170.97","28.09M","0.23%"
"05/30/2024","173.56","176.69","176.69","173.23","18.84M","-2.16%"
"05/29/2024","177.40","176.81","178.23","176.26","15.02M","-0.35%"
"05/28/2024","178.02","175.74","178.51","175.68","15.66M","0.96%"
"05/24/2024","176.33","176.52","177.30","175.20","11.40M","0.73%"
"05/23/2024","175.06","178.78","179.91","174.54","14.93M","-1.65%"
"05/22/2024","178.00","178.40","178.85","176.78","16.19M","-0.86%"
"05/21/2024","179.54","178.40","179.82","177.31","14.71M","0.61%"
"05/20/2024","178.46","177.31","179.95","177.23","17.50M","0.66%"
"05/17/2024","177.29","175.55","177.49","174.98","16.55M","1.06%"
"05/16/2024","175.43","174.60","176.34","174.05","17.25M","0.89%"
"05/15/2024","173.88","172.30","174.05","172.03","20.96M","1.13%"
"05/14/2024","171.93","171.59","172.78","170.42","18.73M","0.60%"
"05/13/2024","170.90","165.85","170.95","165.76","19.65M","0.36%"
"05/10/2024","170.29","169.69","171.34","167.91","18.74M","-0.75%"
"05/09/2024","171.58","171.15","172.44","169.93","11.94M","0.25%"
"05/08/2024","171.16","170.75","171.91","170.52","14.57M","-1.05%"
"05/07/2024","172.98","170.12","173.47","170.00","21.10M","1.85%"
"05/06/2024","169.83","169.22","169.90","167.89","15.15M","0.50%"
"05/03/2024","168.99","169.54","169.85","164.98","22.77M","0.31%"
"05/02/2024","168.46","166.67","168.53","165.69","17.04M","1.75%"
"05/01/2024","165.57","166.18","168.81","164.90","25.22M","0.56%"
"04/30/2024","164.64","167.38","169.87","164.50","29.42M","-1.94%"
"04/29/2024","167.90","170.77","171.38","167.06","35.91M","-3.33%"
"04/26/2024","173.69","175.99","176.42","171.40","56.50M","9.97%"
"04/25/2024","157.95","153.36","158.28","152.77","36.20M","-1.96%"
"04/24/2024","161.10","159.09","161.39","158.82","19.49M","0.74%"
"04/23/2024","159.92","158.59","160.48","157.96","16.12M","1.25%"
"04/22/2024","157.95","156.01","159.18","155.66","17.24M","1.43%"
"04/19/2024","155.72","157.75","157.99","153.91","21.48M","-1.11%"
"04/18/2024","157.46","156.93","158.49","156.21","14.02M","0.37%"
"04/17/2024","156.88","157.19","158.68","156.13","16.24M","0.56%"
"04/16/2024","156.00","155.64","157.23","155.05","15.41M","-0.21%"
"04/15/2024","156.33","160.28","160.83","156.15","21.14M","-1.80%"
"04/12/2024","159.19","159.40","161.70","158.60","16.99M","-1.00%"
"04/11/2024","160.79","158.34","161.12","157.93","17.84M","1.99%"
"04/10/2024","157.66","157.88","158.16","156.20","16.34M","-0.30%"
"04/09/2024","158.14","157.35","159.89","156.64","21.54M","1.28%"
"04/08/2024","156.14","154.01","156.65","153.99","16.64M","1.43%"
"04/05/2024","153.94","151.68","154.84","151.08","16.30M","1.32%"
"04/04/2024","151.94","155.08","156.18","151.88","24.18M","-2.83%"
"04/03/2024","156.37","154.92","156.55","154.13","17.27M","0.32%"
"04/02/2024","155.87","154.75","155.99","153.46","17.60M","-0.40%"
"04/01/2024","156.50","151.83","157.00","151.65","24.47M","2.78%"
"03/28/2024","152.26","152.00","152.67","151.33","21.11M","0.21%"
"03/27/2024","151.94","152.15","152.69","150.13","16.62M","0.16%"
"03/26/2024","151.70","151.24","153.20","151.03","19.31M","0.36%"
"03/25/2024","151.15","150.95","151.46","148.80","15.11M","-0.41%"
"03/22/2024","151.77","150.24","152.56","150.09","19.25M","2.04%"
"03/21/2024","148.74","150.32","151.30","148.01","19.84M","-0.63%"
"03/20/2024","149.68","148.79","149.76","147.66","17.73M","1.19%"
"03/19/2024","147.92","148.98","149.62","147.01","17.75M","-0.38%"
"03/18/2024","148.48","149.37","152.93","148.14","47.68M","4.44%"
"03/15/2024","142.17","143.41","144.34","141.13","41.04M","-1.50%"
"03/14/2024","144.34","142.30","144.73","141.49","36.12M","2.54%"
"03/13/2024","140.77","140.06","142.19","140.01","19.64M","0.82%"
"03/12/2024","139.62","138.25","140.28","138.21","19.02M","0.49%"
"03/11/2024","138.94","137.07","139.98","137.07","22.54M","1.94%"
"03/08/2024","136.29","135.04","138.99","134.80","26.50M","0.78%"
"03/07/2024","135.24","133.89","135.82","132.66","24.11M","2.02%"
"03/06/2024","132.56","134.24","134.74","131.95","23.18M","-0.91%"
"03/05/2024","133.78","132.74","134.02","131.55","28.45M","-0.31%"
"03/04/2024","134.20","136.54","136.63","132.86","43.57M","-2.81%"
"03/01/2024","138.08","139.61","140.00","137.98","28.55M","-1.22%"
"02/29/2024","139.78","138.35","139.95","137.57","35.49M","1.71%"
"02/28/2024","137.43","139.10","139.28","136.64","30.63M","-1.91%"
"02/27/2024","140.10","139.41","140.49","138.50","22.36M","0.97%"
"02/26/2024","138.75","143.45","143.84","138.74","33.51M","-4.50%"
"02/23/2024","145.29","144.97","145.96","144.79","14.52M","-0.02%"
"02/22/2024","145.32","146.12","146.20","144.01","23.02M","1.03%"
"02/21/2024","143.84","142.64","143.98","141.91","16.50M","1.15%"
"02/20/2024","142.20","140.94","143.33","140.80","18.63M","0.31%"
"02/16/2024","141.76","144.21","144.48","141.52","21.87M","-1.51%"
"02/15/2024","143.94","144.46","144.76","141.88","26.72M","-2.17%"
"02/14/2024","147.14","147.37","147.83","145.55","16.65M","0.53%"
"02/13/2024","146.37","146.07","148.04","145.11","18.14M","-1.59%"
"02/12/2024","148.73","149.54","150.59","148.56","17.24M","-0.99%"
"02/09/2024","150.22","147.95","150.70","147.43","21.88M","2.04%"
"02/08/2024","147.22","146.97","147.61","146.42","18.24M","0.37%"
"02/07/2024","146.68","146.12","147.00","145.21","21.44M","0.87%"
"02/06/2024","145.41","145.96","146.74","144.52","21.52M","0.33%"
"02/05/2024","144.93","144.04","146.67","143.91","29.25M","0.97%"
"02/02/2024","143.54","140.89","143.88","138.17","42.14M","0.58%"
"02/01/2024","142.71","143.69","144.62","142.26","25.53M","0.64%"
"01/31/2024","141.80","145.39","145.59","141.55","43.91M","-7.35%"
"01/30/2024","153.05","154.01","155.04","152.77","26.58M","-1.16%"
"01/29/2024","154.84","153.64","155.20","152.92","20.91M","0.68%"
"01/26/2024","153.79","152.87","154.11","152.80","19.49M","0.10%"
"01/25/2024","153.64","151.74","154.76","151.22","21.50M","2.19%"
"01/24/2024","150.35","150.29","151.57","149.84","19.25M","1.12%"
"01/23/2024","148.68","147.72","148.86","147.19","14.11M","0.66%"
"01/22/2024","147.71","148.71","150.01","147.58","21.83M","-0.18%"
"01/19/2024","147.97","146.30","148.04","145.80","27.18M","2.06%"
"01/18/2024","144.99","143.44","145.59","143.35","18.88M","1.47%"
"01/17/2024","142.89","142.91","143.41","140.51","17.88M","-0.83%"
"01/16/2024","144.08","143.43","145.84","143.06","19.20M","-0.11%"
"01/12/2024","144.24","144.34","144.74","143.36","14.00M","0.40%"
"01/11/2024","143.67","144.90","146.66","142.21","17.47M","-0.09%"
"01/10/2024","143.80","142.52","144.52","142.46","16.64M","0.87%"
"01/09/2024","142.56","140.06","142.80","139.79","19.58M","1.44%"
"01/08/2024","140.53","138.00","140.64","137.88","17.65M","2.29%"
"01/05/2024","137.39","138.35","138.81","136.85","15.44M","-0.47%"
"01/04/2024","138.04","139.85","140.63","138.01","18.25M","-1.65%"
"01/03/2024","140.36","138.60","141.09","138.43","18.97M","0.57%"
"01/02/2024","139.56","139.60","140.61","137.74","20.07M","-0.97%"
